categoria,bloque,codigo,descripcion,precio,hay_stock,stock_texto,specs
iphone,iPhone 15 Pro Usado,IPH15P128,128 GB 84% Condicion de Bateria,USD 540,SI,,
iphone,iPhone 18 Pro Max,IPH18PM256,256 GB,USD 1.880,SI,,
iphone,iPhone 18 Pro Max,IPH18PM512,512 GB,USD 2.120,SI,,
iphone,iPhone 18 Pro Max,IPH18PM1TB,1 TB,USD 2.510,SI,,
iphone,iPhone 18 Pro Max,IPH18PM2TB,2 TB,USD 3.160,SI,,
iphone,"iPhone 18 Pro (6.3"")",IPH18P256,256 GB,USD 1.630,SI,,
iphone,"iPhone 18 Pro (6.3"")",IPH18P512,512 GB,USD 1.870,SI,,
iphone,"iPhone 18 Pro (6.3"")",IPH18P1T,1 TB,USD 2.320,SI,,
iphone,iPhone 17 Pro Max,IPH17PM256,256 GB,USD 1.360,SI,,
iphone,iPhone 17 Pro Max,IPH17PM512,512 GB,USD 1.620,SI,,
iphone,iPhone 17 Pro Max,IPH17PM1TB,1 TB,USD 1.700,SI,,
iphone,iPhone 17 Pro Max,IPH17PM2TB,2 TB,,NO,Ingresando,
iphone,"iPhone 17 Pro (6.3"")",IPH17P256,256 GB,USD 1.270,SI,,
iphone,"iPhone 17 Pro (6.3"")",IPH17P512,512 GB,USD 1.540,SI,,
iphone,"iPhone 17 Pro (6.3"")",IPH17P1T,1 TB,,NO,Ingresando,
iphone,"iPhone 17 Air (6.6"")",IPH17PL256,256 GB,USD 1.190,SI,,
iphone,"iPhone 17 Air (6.6"")",IPH17PL512,512 GB,,NO,Ingresando,
iphone,"iPhone 17 E (6.1"")",IPH17E256,256 GB,USD 870,SI,,
iphone,"iPhone 17 (6.3"")",IPH17256,256 GB,USD 1.035,SI,,
iphone,"iPhone 17 (6.3"")",IPH17512,512 GB,,NO,Ingresando,
iphone,"iPhone 16 (6.1"")",IPH16128,128 GB,USD 880,SI,,
iphone,"iPhone 16 (6.1"")",IPH16256,256 GB,,NO,Ingresando,
iphone,"iPhone 15 (6.1"")",IPH15128,128 GB,USD 785,SI,,
iphone,Accesorios,FUNDSP,Funda Spigen Ultra Hybrid Clear,USD 35,SI,,
iphone,Accesorios,20W,Cargador Original 20W,USD 30,SI,,
macbook,"MacBook Pro 14,2"" M4",MP14M424512,M4 - 10 core CPU / 10 core GPU - 24GB - 1TB SSD,USD 2.140,SI,,
macbook,"MacBook Pro 14,2"" M4",MP14M424512,M4 Pro - 12 core CPU / 16 core GPU - 24GB - 512 SSD,USD 2.440,SI,,
macbook,"MacBook Pro 14,2"" M5",MP14M516512,M5 - 10 core CPU / 10 core GPU - 16GB - 512 SSD,USD 2.150,SI,,
macbook,"MacBook Pro 14,2"" M5",MP14M5161T,M5 - 10 core CPU / 10 core GPU - 16GB - 1TB SSD,USD 2.300,SI,,
macbook,"MacBook Pro 14,2"" M5",MP14M5241T,M5 - 10 core CPU / 10 core GPU - 24GB - 1TB SSD,USD 2.550,SI,,
macbook,"MacBook Pro 14,2"" M5",MP14M5321T,M5 - 10 core CPU / 10 core GPU - 32GB - 1TB SSD,USD 2.820,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5P241T,M5 Pro- 15 core CPU / 16 core GPU - 24GB - 1TB SSD,USD 2.740,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5P241T2,M5 Pro- 15 core CPU / 16 core GPU - 24GB - 2TB SSD,USD 3.080,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5P242T,M5 Pro - 18 core CPU / 20 core GPU - 24GB - 2TB SSD,USD 3.430,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5P481T,M5 Pro - 18 core CPU / 20 core GPU - 48GB - 1TB SSD,USD 3.630,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5P641T,M5 Pro - 18 core CPU / 20 core GPU - 64GB - 1TB SSD,USD 4.180,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5M362T,M5 Max - 18 core CPU / 32 core GPU - 36GB - 2TB SSD,USD 4.250,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5M482T,M5 Max - 18 core CPU / 40 core GPU - 48GB - 2TB SSD,USD 5.250,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5M642T,M5 Max - 18 core CPU / 40 core GPU - 64GB - 2TB SSD,USD 5.550,SI,,
macbook,"MacBook Pro 14.2"" M5 Pro & M5 Max",MP14M5M1282T,M5 Max - 18 core CPU / 40 core GPU - 128GB - 2TB SSD,,NO,Sin stock,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5P241T,M5 Pro- 18 core CPU / 20 core GPU - 24GB - 1TB SSD,USD 3.330,SI,,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5P481TB,M5 Pro- 18 core CPU / 20 core GPU - 48GB - 1TB SSD,USD 3.990,SI,,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5641TB,M5 Pro - 18 core CPU / 20 core GPU - 64GB - 1TB SSD,USD 4.670,SI,,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5M362T,M5 Max - 18 core CPU / 32 core GPU - 36GB - 2TB SSD,USD 4.670,SI,,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5M482T,M5 Max - 18 core CPU / 40 core GPU - 48GB - 2TB SSD,USD 5.140,SI,,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5M642T,M5 Max - 18 core CPU / 40 core GPU - 64GB - 2TB SSD,USD 6.020,SI,,
macbook,"MacBook Pro 16"" M5 Pro & M5 Max",MP16M5M1282T,M5 Max - 18 core CPU / 40 core GPU - 128GB - 2TB SSD,USD 7.900,SI,,
macbook,"MacBook Neo 13""",MN13A188256,A18 Pro - 6 core CPU / 5 core GPU - 8GB - 256 SSD,USD 880,SI,,
macbook,"MacBook Neo 13""",MN13A188512,A18 Pro - 6 core CPU / 5 core GPU - 8GB - 512 SSD,USD 980,SI,,
macbook,"MacBook Neo 13""",MN13A188256ESP,A18 Pro - 6 core CPU / 5 core GPU - 8GB - 256 SSD 🇪🇸,USD 970,SI,,
macbook,"MacBook Neo 13""",MN13A188512ESP,A18 Pro - 6 core CPU / 5 core GPU - 8GB - 512 SSD 🇪🇸,USD 1.080,SI,,
macbook,"MacBook Air 13.6"" M5",MAM516512,M5 - 10 core CPU / 8 core GPU - 16GB - 512SSD,USD 1.590,SI,,
macbook,"MacBook Air 13.6"" M5",MAM5161T,M5 - 10 core CPU / 10 core GPU - 16GB -1TB SSD,USD 1.750,SI,,
